# river.pdf page 20 ("Bend instability revisited") -- digitized pins of the six
# dispersion curves.  The identical figure appears as Rossby_Palooza_meet_0630.pdf p.8.
#
# PROVENANCE.  Values below are the 300-dpi digitization made 2026-07-12 for the
# sibling package numerical/vorticity_meander/data/deck_p8_pins.csv (from the 6/30
# render).  They were INDEPENDENTLY corroborated 2026-07-21 by reading river.pdf p.20
# directly at the resolution available here: peaks read 0.245/0.44/0.295 (D family) and
# 0.49/0.41/0.345 (gamma family) against the 0.24/0.43/0.29 and 0.49/0.41/0.34 below,
# and peak positions 0.20/0.31/0.43 and 0.25/0.31/0.36 against 0.21/0.29/0.43 and
# 0.24/0.31/0.37 -- agreement within the stated reading error in every case.
#
# Reading error ~ +-0.02 in k*, +-0.02 in sigma, +-0.1 in c0.
#
# PANEL MAPPING (the deck's own layout is crossed):
#   growth-rate LEFT  / phase-speed RIGHT = D family     at gamma = 0.05
#   growth-rate RIGHT / phase-speed LEFT  = gamma family at D = 0.6
# Axis ranges as printed: growth -0.6..0.6, phase -5..1, wavenumber kb 0..2.
# Magenta markers lambda/2b = 4pi, 2pi, pi sit at k* = 0.25, 0.5, 1.0 (lambda/2b = pi/k*).
#
# c0 = phase speed at the k* -> 0 axis edge.  kzero = growth-rate zero crossing.
# No value in this file is computed by any model; all are read off the figure.
#
# columns: family, D, gamma, kstar_peak, sigma_peak, kzero, c0
family,D,gamma,kstar_peak,sigma_peak,kzero,c0
D-family,0.3,0.05,0.21,0.24,0.78,-2.05
D-family,0.6,0.05,0.29,0.43,1.11,-2.40
D-family,0.9,0.05,0.43,0.29,1.37,-0.88
g-family,0.6,0.03,0.24,0.49,1.09,-3.95
g-family,0.6,0.06,0.31,0.41,1.09,-2.00
g-family,0.6,0.09,0.37,0.34,1.09,-1.30
